1,KECAMATAN KASEMBON,5/7/2023 9:43,5/7/2023 9:43
2,KECAMATAN NGANTANG,5/7/2023 9:43,5/7/2023 9:43
3,KECAMATAN PUJON,5/7/2023 9:43,5/7/2023 9:43
4,KECAMATAN DAU,5/7/2023 9:43,5/7/2023 9:43
5,KECAMATAN LAWANG,5/7/2023 9:43,5/7/2023 9:43
6,KECAMATAN SINGOSARI,5/7/2023 9:43,5/7/2023 9:43
7,KECAMATAN KARANGPLOSO,5/7/2023 9:43,5/7/2023 9:43
8,KECAMATAN JABUNG,5/7/2023 9:43,5/7/2023 9:43
9,KECAMATAN PAKIS,5/7/2023 9:43,5/7/2023 9:43
10,KECAMATAN TUMPANG,5/7/2023 9:43,5/7/2023 9:43
11,KECAMATAN PONCOKUSUMO,5/7/2023 9:43,5/7/2023 9:43
12,KECAMATAN TAJINAN,5/7/2023 9:43,5/7/2023 9:43
13,KECAMATAN BULULAWANG,5/7/2023 9:43,5/7/2023 9:43
14,KECAMATAN TUREN,5/7/2023 9:43,5/7/2023 9:43
15,KECAMATAN WAJAK,5/7/2023 9:43,5/7/2023 9:43
16,KECAMATAN PAKISAJI,5/7/2023 9:43,5/7/2023 9:43
17,KECAMATAN WAGIR,5/7/2023 9:43,5/7/2023 9:43
18,KECAMATAN NGAJUM,5/7/2023 9:43,5/7/2023 9:43
19,KECAMATAN WONOSARI,5/7/2023 9:43,5/7/2023 9:43
20,KECAMATAN KROMENGAN,5/7/2023 9:43,5/7/2023 9:43
21,KECAMATAN SUMBERPUCUNG,5/7/2023 9:43,5/7/2023 9:43
22,KECAMATAN KEPANJEN,5/7/2023 9:43,5/7/2023 9:43
23,KECAMATAN GONDANGLEGI,5/7/2023 9:43,5/7/2023 9:43
24,KECAMATAN PAGELARAN,5/7/2023 9:43,5/7/2023 9:43
25,KECAMATAN KALIPARE,5/7/2023 9:43,5/7/2023 9:43
26,KECAMATAN DONOMULYO,5/7/2023 9:43,5/7/2023 9:43
27,KECAMATAN PAGAK,5/7/2023 9:43,5/7/2023 9:43
28,KECAMATAN BANTUR,5/7/2023 9:43,5/7/2023 9:43
29,KECAMATAN GEDANGAN,5/7/2023 9:43,5/7/2023 9:43
30,KECAMATAN SUMBERMANJING WETAN,5/7/2023 9:43,5/7/2023 9:43
31,KECAMATAN DAMPIT,5/7/2023 9:43,5/7/2023 9:43
32,KECAMATAN TIRTOYUDO,5/7/2023 9:43,5/7/2023 9:43
33,KECAMATAN AMPELGADING,5/7/2023 9:43,5/7/2023 9:43
